movie_title,imdb_score,title_year,actor_1_name,content_rating,duration,director_name,gross,genres,budget,aspect_ratio
Beverly Hills Cop ,7.3,1984,Judge Reinhold,R,105,Martin Brest,234760500,Action|Comedy|Crime,14000000,1.85
Loaded Weapon 1 ,6.1,1993,Jon Lovitz,PG-13,84,Gene Quintano,27979400,Action|Comedy|Crime,8200000,1.85
Drive Hard ,4.3,2014,Zoe Ventoura,Not Rated,92,Brian Trenchard-Smith,,Action|Comedy|Crime,12000000,
A Low Down Dirty Shame ,5.8,1994,Jada Pinkett Smith,R,100,Keenen Ivory Wayans,29392418,Action|Comedy|Crime,10000000,1.85
Wild Target ,6.9,2010,Rupert Grint,PG-13,98,Jonathan Lynn,117190,Action|Comedy|Crime,8000000,2.35
Mr. Nice Guy ,6.2,1997,Sammo Kam-Bo Hung,PG-13,86,Sammo Kam-Bo Hung,12674183,Action|Comedy|Crime,,2.35
Next Day Air ,5.9,2009,Omari Hardwick,R,84,Benny Boom,10017041,Action|Comedy|Crime,3000000,1.85
After the Sunset ,6.3,2004,Salma Hayek,PG-13,97,Brett Ratner,28328132,Action|Comedy|Crime|Drama,58000000,2.35
Plastic ,6,2014,Mem Ferda,R,102,Julian Gilbey,,Action|Comedy|Crime|Drama,10000000,
Perrier's Bounty ,6.4,2009,Jim Broadbent,R,88,Ian Fitzgibbon,828,Action|Comedy|Crime|Drama|Romance|Thriller,,2.35
Money Train ,5.6,1995,Vincent Pastore,R,105,Joseph Ruben,35324232,Action|Comedy|Crime|Drama|Thriller,68000000,2.35
2 Guns ,6.7,2013,Denzel Washington,R,109,Baltasar Kormákur,75573300,Action|Comedy|Crime|Drama|Thriller,61000000,2.35
The Glimmer Man ,5.3,1996,Alexa PenaVega,R,91,John Gray,20400913,Action|Comedy|Crime|Drama|Thriller,45000000,1.85
Exit Wounds ,5.5,2001,Michael Jai White,R,101,Andrzej Bartkowiak,51758599,Action|Comedy|Crime|Drama|Thriller,33000000,2.35
Underclassman ,4.1,2005,Cheech Marin,PG-13,95,Marcos Siega,5654777,Action|Comedy|Crime|Drama|Thriller,25000000,2.35
Bad Boys ,6.8,1995,Will Smith,R,119,Michael Bay,65807024,Action|Comedy|Crime|Drama|Thriller,19000000,1.85
Wasabi ,6.6,2001,Carole Bouquet,R,94,Gérard Krawczyk,81525,Action|Comedy|Crime|Drama|Thriller,15300000,2.35
See Spot Run ,5.4,2001,Leslie Bibb,PG,94,John Whitesell,33357476,Action|Comedy|Crime|Family,35000000,1.85
Kung Fu Hustle ,7.8,2004,Shengyi Huang,R,99,Stephen Chow,17104669,Action|Comedy|Crime|Fantasy,20000000,2.35
The Mask ,6.9,1994,Peter Greene,PG-13,114,Chuck Russell,119938730,Action|Comedy|Crime|Fantasy,18000000,1.85
Dylan Dog: Dead of Night ,5.1,2010,Marco St. John,PG-13,107,Kevin Munroe,1183354,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,20000000,2.35
The Blues Brothers ,7.9,1980,John Belushi,R,148,John Landis,54200000,Action|Comedy|Crime|Music,27000000,1.85
Dick Tracy ,6.1,1990,Charlie Korsmo,PG,105,Warren Beatty,103738726,Action|Comedy|Crime|Music|Romance|Thriller,100000000,1.85
Miss Congeniality ,6.2,2000,Candice Bergen,PG-13,109,Donald Petrie,106807667,Action|Comedy|Crime|Romance,45000000,1.85
Ride Along ,6.2,2014,Bruce McGill,PG-13,99,Tim Story,134141530,Action|Comedy|Crime|Romance,25000000,2.35
Mr. & Mrs. Smith ,6.5,2005,Brad Pitt,PG-13,126,Doug Liman,186336103,Action|Comedy|Crime|Romance|Thriller,120000000,2.35
One for the Money ,5.3,2012,Fisher Stevens,PG-13,91,Julie Anne Robinson,26404753,Action|Comedy|Crime|Romance|Thriller,40000000,2.35
Grosse Pointe Blank ,7.4,1997,Minnie Driver,R,107,George Armitage,28014536,Action|Comedy|Crime|Romance|Thriller,15000000,1.85
The Green Hornet ,5.8,2011,Christoph Waltz,PG-13,119,Michel Gondry,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,120000000,2.35
Rush Hour 3 ,6.2,2007,Tzi Ma,PG-13,91,Brett Ratner,140080850,Action|Comedy|Crime|Thriller,140000000,2.35
Bad Boys II ,6.6,2003,Will Smith,R,147,Michael Bay,138396624,Action|Comedy|Crime|Thriller,130000000,2.35
Rush Hour 2 ,6.6,2001,Mei Melançon,PG-13,90,Brett Ratner,226138454,Action|Comedy|Crime|Thriller,90000000,2.35
RED 2 ,6.7,2013,Bruce Willis,PG-13,116,Dean Parisot,53215979,Action|Comedy|Crime|Thriller,84000000,2.35
Hollywood Homicide ,5.3,2003,Harrison Ford,PG-13,116,Ron Shelton,30013346,Action|Comedy|Crime|Thriller,75000000,2.35
3000 Miles to Graceland ,5.9,2001,Jon Lovitz,R,125,Demian Lichtenstein,15738632,Action|Comedy|Crime|Thriller,42000000,2.35
RED ,7.1,2010,Bruce Willis,PG-13,111,Robert Schwentke,90356857,Action|Comedy|Crime|Thriller,58000000,2.35
Tango & Cash ,6.3,1989,Sylvester Stallone,R,97,Andrey Konchalovskiy,63408614,Action|Comedy|Crime|Thriller,55000000,2.35
Beverly Hills Cop III ,5.5,1994,Louis Lombardi,R,104,John Landis,42610000,Action|Comedy|Crime|Thriller,55000000,1.85
Blue Streak ,6.3,1999,Peter Greene,PG-13,93,Les Mayfield,68208190,Action|Comedy|Crime|Thriller,65000000,1.85
Midnight Run ,7.6,1988,Robert De Niro,R,126,Martin Brest,38413606,Action|Comedy|Crime|Thriller,30000000,1.85
Formula 51 ,6.3,2001,Meat Loaf,R,93,Ronny Yu,5204007,Action|Comedy|Crime|Thriller,28000000,2.35
Money Talks ,6.1,1997,Heather Locklear,R,97,Brett Ratner,41067398,Action|Comedy|Crime|Thriller,25000000,2.35
Double Take ,5.3,2001,Daniel Roebuck,PG-13,88,George Gallo,20218,Action|Comedy|Crime|Thriller,24000000,2.35
Beverly Hills Cop II ,6.4,1987,Dean Stockwell,R,100,Tony Scott,153665036,Action|Comedy|Crime|Thriller,28000000,2.35
The Man Who Knew Too Little ,6.6,1997,Bill Murray,PG,94,Jon Amiel,13801755,Action|Comedy|Crime|Thriller,20000000,1.85
Machete Kills ,5.6,2013,Alexa PenaVega,R,107,Robert Rodriguez,7268659,Action|Comedy|Crime|Thriller,20000000,1.85
All About the Benjamins ,5.7,2002,Mike Epps,R,95,Kevin Bray,25482931,Action|Comedy|Crime|Thriller,14000000,2.35
The Big Hit ,6.1,1998,Bokeem Woodbine,R,91,Kirk Wong,27052167,Action|Comedy|Crime|Thriller,13000000,1.85
Bon Cop Bad Cop ,7,2006,Colm Feore,R,116,Erik Canuel,,Action|Comedy|Crime|Thriller,8000000,2.35
Showdown in Little Tokyo ,6,1991,Cary-Hiroyuki Tagawa,R,79,Mark L. Lester,2275557,Action|Comedy|Crime|Thriller,8000000,1.85
Action Jackson ,5.2,1988,Bill Duke,R,96,Craig R. Baxley,20257000,Action|Comedy|Crime|Thriller,7000000,1.85
Taxman ,5.5,1998,Fisher Stevens,R,104,Avi Nesher,,Action|Comedy|Crime|Thriller,1000000,1.37
Bandidas ,5.7,2006,Salma Hayek,PG-13,93,Joachim Rønning,,Action|Comedy|Crime|Western,32000000,2.35
Jackass 3D ,7.1,2010,Bam Margera,R,101,Jeff Tremaine,117224271,Action|Comedy|Documentary,20000000,1.78
Jackass Number Two ,7.1,2006,Bam Margera,R,92,Jeff Tremaine,72755517,Action|Comedy|Documentary,,1.85
High Heels and Low Lifes ,6.2,2001,Minnie Driver,R,86,Mel Smith,226792,Action|Comedy|Drama,10000000,1.85
The Pacifier ,5.5,2005,Vin Diesel,PG,95,Adam Shankman,113006880,Action|Comedy|Drama|Family|Thriller,56000000,2.35
The Last Dragon ,6.9,1985,Mike Starr,PG-13,109,Michael Schultz,33000000,Action|Comedy|Drama|Music,10000000,1.85
American Hero ,4.9,2015,Eddie Griffin,,86,Nick Love,,Action|Comedy|Drama|Sci-Fi,990000,
Tidal Wave ,5.7,2009,Nicole Dionne,R,103,JK Youn,,Action|Comedy|Drama|Thriller,,2.35
Salvation Boulevard ,5.3,2011,Jim Gaffigan,R,96,George Ratliff,27445,Action|Comedy|Drama|Thriller,9000000,1.85
All the Queen's Men ,4.5,2001,Eddie Izzard,PG-13,105,Stefan Ruzowitzky,22723,Action|Comedy|Drama|War,25000000,2.35
Gunless ,6.5,2010,Tyler Mane,,89,William Phillips,,Action|Comedy|Drama|Western,10000000,2.35
The Spy Next Door ,5.4,2010,Madeline Carroll,PG,94,Brian Levant,24268828,Action|Comedy|Family,28000000,1.85
3 Ninjas Kick Back ,4.3,1994,Victor Wong,PG,93,Charles T. Kanganis,11784000,Action|Comedy|Family,20000000,1.85
Cats & Dogs: The Revenge of Kitty Galore ,4.3,2010,Jack McBrayer,PG,82,Brad Peyton,43575716,Action|Comedy|Family|Fantasy,85000000,1.85
Cats & Dogs ,5.2,2001,Carol Ann Susi,PG,87,Lawrence Guterman,93375151,Action|Comedy|Family|Fantasy,60000000,1.85
R.I.P.D. ,5.6,2013,Ryan Reynolds,PG-13,96,Robert Schwentke,33592415,Action|Comedy|Fantasy,130000000,2.35
Bulletproof Monk ,5.5,2003,Jaime King,PG-13,104,Paul Hunter,23020488,Action|Comedy|Fantasy,52000000,2.35
The Medallion ,5.2,2003,Julian Sands,PG-13,108,Gordon Chan,22108977,Action|Comedy|Fantasy,41000000,2.35
Vampire Killers ,5.2,2009,MyAnna Buring,R,88,Phil Claydon,,Action|Comedy|Fantasy|Horror,,2.35
Scott Pilgrim vs. the World ,7.5,2010,Anna Kendrick,PG-13,112,Edgar Wright,31494270,Action|Comedy|Fantasy|Romance,60000000,1.85
Ghostbusters ,5.5,2016,Ed Begley Jr.,PG-13,116,Paul Feig,118099659,Action|Comedy|Fantasy|Sci-Fi,144000000,2.35
Mystery Men ,6,1999,Janeane Garofalo,PG-13,121,Kinka Usher,29655590,Action|Comedy|Fantasy|Sci-Fi,65000000,1.85
Ghostbusters ,5.5,2016,Ed Begley Jr.,PG-13,116,Paul Feig,118099659,Action|Comedy|Fantasy|Sci-Fi,144000000,2.35
The Specials ,6,2000,Judy Greer,R,82,Craig Mazin,12996,Action|Comedy|Fantasy|Sci-Fi,1000000,1.85
Eight Legged Freaks ,5.4,2002,Scarlett Johansson,PG-13,99,Ellory Elkayem,17266505,Action|Comedy|Horror,30000000,2.35
Lake Placid ,5.6,1999,Oliver Platt,R,82,Steve Miner,31768374,Action|Comedy|Horror,27000000,2.35
Jack Brooks: Monster Slayer ,6,2007,Rachel Skarsten,R,90,Jon Knautz,,Action|Comedy|Horror,2500000,1.85
Zombie Hunter ,3.5,2013,Jason K. Wixom,Not Rated,93,K. King,,Action|Comedy|Horror,1000000,2.35
The Toxic Avenger Part II ,5.1,1989,Phoebe Legere,R,96,Michael Herz,792966,Action|Comedy|Horror|Sci-Fi,2300000,1.33
The Toxic Avenger ,6.2,1984,Patrick Kilpatrick,Unrated,91,Michael Herz,,Action|Comedy|Horror|Sci-Fi,475000,1.85
Feast ,6.4,2005,Krista Allen,R,95,John Gulager,,Action|Comedy|Horror|Thriller,3200000,2.35
Dance Flick ,3.5,2009,Damon Wayans Jr.,PG-13,88,Damien Dante Wayans,25615792,Action|Comedy|Music,25000000,1.85
Hot Fuzz ,7.9,2007,Bill Bailey,R,121,Edgar Wright,23618786,Action|Comedy|Mystery,8000000,2.35
Mortdecai ,5.5,2015,Johnny Depp,R,107,David Koepp,7605668,Action|Comedy|Mystery|Romance,60000000,2.35
Knight and Day ,6.3,2010,Tom Cruise,PG-13,117,James Mangold,76418654,Action|Comedy|Romance,117000000,2.35
This Means War ,6.3,2012,Tom Hardy,PG-13,103,McG,54758461,Action|Comedy|Romance,65000000,2.35
The Bounty Hunter ,5.5,2010,Gerard Butler,PG-13,110,Andy Tennant,67061228,Action|Comedy|Romance,40000000,2.35
Hit and Run ,6.1,2012,Bradley Cooper,R,100,David Palmer,13746550,Action|Comedy|Romance,2000000,2.35
MacGruber ,5.5,2010,Jasper Cole,R,95,Jorma Taccone,8460995,Action|Comedy|Romance,10000000,2.35
D.E.B.S. ,5.3,2004,Jordana Brewster,PG-13,91,Angela Robinson,96793,Action|Comedy|Romance,3500000,2.35
Killers ,5.4,2010,Tom Selleck,PG-13,100,Robert Luketic,47000485,Action|Comedy|Romance|Thriller,75000000,2.35
Hum To Mohabbat Karega ,2.8,2000,Karisma Kapoor,,,Kundan Shah,,Action|Comedy|Romance|Thriller,,
The Adventures of Pluto Nash ,3.8,2002,Rosario Dawson,PG-13,95,Ron Underwood,4411102,Action|Comedy|Sci-Fi,100000000,1.85
Mars Attacks! ,6.3,1996,Natalie Portman,PG-13,106,Tim Burton,37754208,Action|Comedy|Sci-Fi,70000000,2.35
The Tuxedo ,5.3,2002,Romany Malco,PG-13,98,Kevin Donovan,50189179,Action|Comedy|Sci-Fi,60000000,1.85
The Watch ,5.7,2012,Will Forte,R,102,Akiva Schaffer,34350553,Action|Comedy|Sci-Fi,68000000,2.35
Superman III ,4.9,1983,Margot Kidder,PG,125,Richard Lester,60000000,Action|Comedy|Sci-Fi,39000000,2.35
Tank Girl ,5.2,1995,Naomi Watts,R,104,Rachel Talalay,4064333,Action|Comedy|Sci-Fi,25000000,2.35
The World's End ,7,2013,Michael Smiley,R,109,Edgar Wright,26003149,Action|Comedy|Sci-Fi,20000000,2.35
The Watch ,5.7,2012,Will Forte,R,102,Akiva Schaffer,34350553,Action|Comedy|Sci-Fi,68000000,2.35
Death Race 2000 ,6.2,1975,Sylvester Stallone,R,80,Paul Bartel,,Action|Comedy|Sci-Fi|Sport,300000,1.85
Superhero Movie ,4.5,2008,Drake Bell,PG-13,82,Craig Mazin,25871834,Action|Comedy|Sci-Fi|Thriller,35000000,1.85
Attack the Block ,6.6,2011,John Boyega,R,88,Joe Cornish,1024175,Action|Comedy|Sci-Fi|Thriller,13000000,2.35
Wild Wild West ,4.8,1999,Will Smith,PG-13,106,Barry Sonnenfeld,113745408,Action|Comedy|Sci-Fi|Western,170000000,1.85
Talladega Nights: The Ballad of Ricky Bobby ,6.6,2006,Will Ferrell,PG-13,122,Adam McKay,148213377,Action|Comedy|Sport,73000000,2.35
Here Comes the Boom ,6.5,2012,Salma Hayek,PG,105,Frank Coraci,45290318,Action|Comedy|Sport,42000000,1.85
Shaolin Soccer ,7.3,2001,Wei Zhao,PG,85,Stephen Chow,488872,Action|Comedy|Sport,10000000,1.85
True Lies ,7.2,1994,Jamie Lee Curtis,R,141,James Cameron,146282411,Action|Comedy|Thriller,115000000,2.35
Knock Off ,4.8,1998,Paul Sorvino,R,91,Hark Tsui,10076136,Action|Comedy|Thriller,35000000,2.35
"War, Inc. ",5.7,2008,Bashar Rahal,R,107,Joshua Seftel,578527,Action|Comedy|Thriller,10000000,1.78
Hobo with a Shotgun ,6.1,2011,Gregory Smith,Not Rated,86,Jason Eisener,703002,Action|Comedy|Thriller,3000000,2.35
1941 ,5.9,1979,Christopher Lee,PG,142,Steven Spielberg,,Action|Comedy|War,35000000,2.35
Stripes ,6.9,1981,Bill Murray,R,117,Ivan Reitman,85300000,Action|Comedy|War,10000000,1.85
Walking Tall ,6.2,2004,Dwayne Johnson,PG-13,86,Kevin Bray,45860039,Action|Crime,56000000,2.35
Double Impact ,5.5,1991,Bolo Yeung,R,110,Sheldon Lettich,30102717,Action|Crime,15000000,1.85
Z Storm ,5.3,2014,Michael Wong,,92,David Lam,,Action|Crime,7000000,2.35
Close Range ,4.9,2015,Anthony L. Fernandez,,80,Isaac Florentine,,Action|Crime,3000000,
Deuces Wild ,5.6,2002,Norman Reedus,R,96,Scott Kalvert,6044618,Action|Crime|Drama,10000000,2.35
The Sweeney ,6.1,2012,Hayley Atwell,R,112,Nick Love,26345,Action|Crime|Drama,3000000,2.35
Gangster's Paradise: Jerusalema ,7.8,2008,Rapulana Seiphemo,R,119,Ralph Ziman,4958,Action|Crime|Drama,2000000,2.35
Mercy Streets ,5.6,2000,Stacy Keach,PG-13,106,Jon Gunn,171988,Action|Crime|Drama,600000,1.85
Amidst the Devil's Wings ,4.3,2014,Keri Maletto,,90,Daniel Columbie,,Action|Crime|Drama,300000,
The Newton Boys ,6,1998,Matthew McConaughey,PG-13,123,Richard Linklater,10297897,Action|Crime|Drama|History|Western,27000000,2.35
The Streets of San Francisco             ,7.3,,Karl Malden,,120,,,Action|Crime|Drama|Mystery,,4
Criminal ,6.3,2016,Gary Oldman,R,113,Ariel Vromen,14268533,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,31500000,2.35
Miami Vice             ,7.5,,Don Johnson,TV-14,60,,,Action|Crime|Drama|Mystery|Thriller,1500000,1.33
Enemy of the State ,7.3,1998,Will Smith,R,140,Tony Scott,111544445,Action|Crime|Drama|Mystery|Thriller,90000000,2.35
Hostage ,6.6,2005,Jimmy Bennett,R,113,Florent-Emilio Siri,34636443,Action|Crime|Drama|Mystery|Thriller,52000000,2.35
Blackhat ,5.4,2015,Chris Hemsworth,R,133,Michael Mann,7097125,Action|Crime|Drama|Mystery|Thriller,70000000,2.35
The Long Kiss Goodnight ,6.7,1996,Melina Kanakaredes,R,121,Renny Harlin,33328051,Action|Crime|Drama|Mystery|Thriller,65000000,2.35
Shooter ,7.2,2007,Tate Donovan,R,124,Antoine Fuqua,46975183,Action|Crime|Drama|Mystery|Thriller,61000000,2.35
Righteous Kill ,6,2008,Robert De Niro,R,101,Jon Avnet,40076438,Action|Crime|Drama|Mystery|Thriller,60000000,2.35
The Negotiator ,7.3,1998,Kevin Spacey,R,140,F. Gary Gray,44484065,Action|Crime|Drama|Mystery|Thriller,50000000,2.35
Basic ,6.5,2003,Connie Nielsen,R,98,John McTiernan,26536120,Action|Crime|Drama|Mystery|Thriller,50000000,2.35
Blood Work ,6.4,2002,Clint Eastwood,R,110,Clint Eastwood,26199517,Action|Crime|Drama|Mystery|Thriller,50000000,2.35
The International ,6.5,2009,Naomi Watts,R,118,Tom Tykwer,25450527,Action|Crime|Drama|Mystery|Thriller,50000000,2.35
Street Fighter: The Legend of Chun-Li ,3.7,2009,Chris Klein,PG-13,96,Andrzej Bartkowiak,8742261,Action|Crime|Drama|Mystery|Thriller,18000000,2.35
The Gunman ,5.8,2015,Ray Winstone,R,115,Pierre Morel,10640645,Action|Crime|Drama|Mystery|Thriller,40000000,2.35
Breakdown ,6.9,1997,Kathleen Quinlan,R,93,Jonathan Mostow,50129186,Action|Crime|Drama|Mystery|Thriller,36000000,2.35
Max Payne ,5.4,2008,Mila Kunis,PG-13,103,John Moore,40687294,Action|Crime|Drama|Mystery|Thriller,35000000,2.35
Four Brothers ,6.9,2005,Josh Charles,R,109,John Singleton,74484168,Action|Crime|Drama|Mystery|Thriller,45000000,2.35
Sicario ,7.6,2015,Edgar Arreola,R,121,Denis Villeneuve,46875468,Action|Crime|Drama|Mystery|Thriller,30000000,2.39
The Losers ,6.4,2010,Chris Evans,PG-13,97,Sylvain White,23527955,Action|Crime|Drama|Mystery|Thriller,25000000,2.35
The Net ,5.8,1995,Ken Howard,PG-13,114,Irwin Winkler,50728000,Action|Crime|Drama|Mystery|Thriller,22000000,1.85
Broken Horses ,5.7,2015,María Valverde,R,101,Vidhu Vinod Chopra,,Action|Crime|Drama|Mystery|Thriller,15000000,2.35
The Corruptor ,6,1999,Byron Mann,R,110,James Foley,15156200,Action|Crime|Drama|Mystery|Thriller,30000000,2.35
Harper ,7,1966,Janet Leigh,Not Rated,121,Jack Smight,,Action|Crime|Drama|Mystery|Thriller,3500000,2.35
The Specialist ,5.4,1994,Sylvester Stallone,R,110,Luis Llosa,57362581,Action|Crime|Drama|Romance|Thriller,45000000,1.85
The Good Thief ,6.6,2002,Emir Kusturica,R,109,Neil Jordan,3517797,Action|Crime|Drama|Romance|Thriller,25000000,1.85
Nowhere to Run ,5.5,1993,Kieran Culkin,R,94,Robert Harmon,22189039,Action|Crime|Drama|Romance|Thriller,15000000,1.85
True Romance ,8,1993,Brad Pitt,R,121,Tony Scott,12281500,Action|Crime|Drama|Romance|Thriller,13000000,2.35
Set It Off ,6.8,1996,Vivica A. Fox,R,123,F. Gary Gray,36049108,Action|Crime|Drama|Romance|Thriller,9000000,2.35
El Mariachi ,6.9,1992,Carlos Gallardo,R,81,Robert Rodriguez,2040920,Action|Crime|Drama|Romance|Thriller,7000,1.37
Chappie ,6.9,2015,Hugh Jackman,R,120,Neill Blomkamp,31569268,Action|Crime|Drama|Sci-Fi|Thriller,49000000,2.35
Looper ,7.4,2012,Joseph Gordon-Levitt,R,119,Rian Johnson,66468315,Action|Crime|Drama|Sci-Fi|Thriller,30000000,2.35
Undisputed ,6.1,2002,Fisher Stevens,R,94,Walter Hill,12398628,Action|Crime|Drama|Sport,20000000,2.35
The Dark Knight ,9,2008,Christian Bale,PG-13,152,Christopher Nolan,533316061,Action|Crime|Drama|Thriller,185000000,2.35
The Devil's Own ,6.1,1997,Harrison Ford,R,111,Alan J. Pakula,42877165,Action|Crime|Drama|Thriller,86000000,2.35
Hard Rain ,5.8,1998,Morgan Freeman,R,97,Mikael Salomon,19819494,Action|Crime|Drama|Thriller,70000000,2.35
Need for Speed ,6.5,2014,Rami Malek,PG-13,132,Scott Waugh,43568507,Action|Crime|Drama|Thriller,66000000,2.35
Clear and Present Danger ,6.9,1994,Harrison Ford,PG-13,141,Phillip Noyce,122012710,Action|Crime|Drama|Thriller,62000000,2.35
Man on Fire ,7.7,2004,Denzel Washington,R,146,Tony Scott,77862546,Action|Crime|Drama|Thriller,70000000,2.35
London Has Fallen ,5.9,2016,Gerard Butler,R,99,Babak Najafi,62401264,Action|Crime|Drama|Thriller,60000000,2.35
Gangster Squad ,6.7,2013,Ryan Gosling,R,113,Ruben Fleischer,45996718,Action|Crime|Drama|Thriller,60000000,2.35
Mercury Rising ,6.1,1998,Bruce Willis,R,111,Harold Becker,32940507,Action|Crime|Drama|Thriller,60000000,2.35
Kill Bill: Vol. 2 ,8,2004,Vivica A. Fox,R,137,Quentin Tarantino,66207920,Action|Crime|Drama|Thriller,30000000,2.35
The Hunted ,6,2003,Connie Nielsen,R,94,William Friedkin,34238611,Action|Crime|Drama|Thriller,55000000,1.85
Payback ,7.1,1999,Bill Duke,R,90,Brian Helgeland,81517441,Action|Crime|Drama|Thriller,50000000,2.35
Absolute Power ,6.7,1997,Clint Eastwood,R,121,Clint Eastwood,50007168,Action|Crime|Drama|Thriller,50000000,2.35
Run All Night ,6.6,2015,Liam Neeson,R,114,Jaume Collet-Serra,26442251,Action|Crime|Drama|Thriller,50000000,2.35
16 Blocks ,6.6,2006,Bruce Willis,PG-13,102,Richard Donner,36883539,Action|Crime|Drama|Thriller,52000000,2.35
Unleashed ,7,2005,Morgan Freeman,R,103,Louis Leterrier,24520892,Action|Crime|Drama|Thriller,45000000,2.35
15 Minutes ,6.1,2001,Robert De Niro,R,120,John Herzfeld,24375436,Action|Crime|Drama|Thriller,42000000,2.35
Colombiana ,6.4,2011,Jordi Mollà,PG-13,112,Olivier Megaton,36665854,Action|Crime|Drama|Thriller,40000000,2.35
Get Carter ,5.1,2000,Sylvester Stallone,R,102,Stephen Kay,14967182,Action|Crime|Drama|Thriller,40000000,2.35
A Man Apart ,6.1,2003,Vin Diesel,R,109,F. Gary Gray,26183197,Action|Crime|Drama|Thriller,36000000,2.35
Sabotage ,5.7,2014,Mireille Enos,R,109,David Ayer,10499968,Action|Crime|Drama|Thriller,35000000,1.85
Punisher: War Zone ,6,2008,Julie Benz,R,103,Lexi Alexander,7948159,Action|Crime|Drama|Thriller,35000000,2.35
Stolen ,5.5,2012,Nicolas Cage,R,96,Simon West,183125,Action|Crime|Drama|Thriller,35000000,2.35
The Punisher ,6.5,2004,Laura Harring,R,140,Jonathan Hensleigh,33682273,Action|Crime|Drama|Thriller,33000000,2.35
Assault on Precinct 13 ,6.3,2005,Brian Dennehy,R,109,Jean-François Richet,19976073,Action|Crime|Drama|Thriller,20000000,2.35
Antitrust ,6.1,2001,Tyler Labine,PG-13,109,Peter Howitt,10965209,Action|Crime|Drama|Thriller,30000000,2.35
Dead Man Down ,6.5,2013,Dominic Cooper,R,118,Niels Arden Oplev,10880926,Action|Crime|Drama|Thriller,30000000,2.35
Wild Card ,5.6,2015,Jason Statham,R,92,Simon West,,Action|Crime|Drama|Thriller,30000000,2.35
Brick Mansions ,5.7,2014,Paul Walker,PG-13,100,Camille Delamarre,20285518,Action|Crime|Drama|Thriller,28000000,2.35
Contraband ,6.5,2012,J.K. Simmons,R,109,Baltasar Kormákur,66489425,Action|Crime|Drama|Thriller,25000000,2.35
Kiss of the Dragon ,6.6,2001,Jet Li,R,98,Chris Nahon,36833473,Action|Crime|Drama|Thriller,25000000,2.35
Cradle 2 the Grave ,5.8,2003,Jet Li,R,101,Andrzej Bartkowiak,34604054,Action|Crime|Drama|Thriller,30000000,2.35
Stone Cold ,5.9,1991,Brian Bosworth,R,88,Craig R. Baxley,9286314,Action|Crime|Drama|Thriller,17000000,1.85
Faster ,6.5,2010,Dwayne Johnson,R,98,George Tillman Jr.,23225911,Action|Crime|Drama|Thriller,24000000,2.35
Rogue             ,6.8,,Cole Hauser,,50,,,Action|Crime|Drama|Thriller,,
Homefront ,6.5,2013,Jason Statham,R,100,Gary Fleder,19783777,Action|Crime|Drama|Thriller,22000000,2.35
The French Connection ,7.8,1971,Roy Scheider,R,104,William Friedkin,,Action|Crime|Drama|Thriller,1800000,1.85
Street Kings ,6.8,2008,Keanu Reeves,R,109,David Ayer,26415649,Action|Crime|Drama|Thriller,20000000,2.35
Paparazzi ,5.8,2004,Cole Hauser,PG-13,84,Paul Abascal,15712072,Action|Crime|Drama|Thriller,20000000,2.35
Triple 9 ,6.3,2016,Kate Winslet,R,115,John Hillcoat,12626905,Action|Crime|Drama|Thriller,20000000,2.35
A Most Violent Year ,7,2014,David Oyelowo,R,125,J.C. Chandor,5749134,Action|Crime|Drama|Thriller,20000000,2.35
I Am Wrath ,5.2,2016,Sam Trammell,R,92,Chuck Russell,,Action|Crime|Drama|Thriller,18000000,
Hitman ,6.3,2007,Henry Ian Cusick,R,94,Xavier Gens,39687528,Action|Crime|Drama|Thriller,24000000,2.35
Smokin' Aces ,6.7,2006,Ryan Reynolds,R,109,Joe Carnahan,35635046,Action|Crime|Drama|Thriller,17000000,2.35
Running Scared ,7.4,2006,Paul Walker,R,122,Wayne Kramer,6855137,Action|Crime|Drama|Thriller,17000000,2.35
The Skulls ,5.6,2000,Paul Walker,PG-13,106,Rob Cohen,35007180,Action|Crime|Drama|Thriller,15000000,1.85
Shinjuku Incident ,7.1,2009,Bingbing Fan,R,119,Tung-Shing Yee,,Action|Crime|Drama|Thriller,15000000,2.35
The Border             ,7.4,,Jacek Koman,,41,,,Action|Crime|Drama|Thriller,,
Romeo Is Bleeding ,6.6,1993,Gary Oldman,R,100,Peter Medak,3275585,Action|Crime|Drama|Thriller,11500000,1.85
American Heist ,5.2,2014,Hayden Christensen,R,94,Sarik Andreasyan,,Action|Crime|Drama|Thriller,10000000,
The Way of the Gun ,6.7,2000,Kristin Lehman,R,119,Christopher McQuarrie,6047856,Action|Crime|Drama|Thriller,8500000,1.85
The Player             ,7.1,,Nick Wechsler,TV-14,60,,,Action|Crime|Drama|Thriller,,16
Swelter ,4.6,2014,Rachel Ann Mullins,R,96,Keith Parmer,,Action|Crime|Drama|Thriller,8000000,
Black November ,5.6,2012,Akon,,95,Jeta Amata,,Action|Crime|Drama|Thriller,7500000,
Harry Brown ,7.2,2009,Joseph Gilgun,R,97,Daniel Barber,1818681,Action|Crime|Drama|Thriller,7300000,2.35
Nikita             ,7.7,,Melinda Clarke,,60,,,Action|Crime|Drama|Thriller,,16
